"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JC_struc","JA_struc","NewHybrids_FinalAssignment"
"752","085740_1261_S64_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999967,3.3e-05,"NewHyb_JC"
"753","085741_1262_S65_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999964,3.6e-05,"NewHyb_JC"
"754","085742_1263_S66_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999965,3.5e-05,"NewHyb_JC"
"755","085743_1264_S67_","NewHyb_JC",3.99535,"1; 0.998; 0.998; 1","NewHyb_BC6JC",0.00464,"0; 0.002; 0.002; 0","NewHyb_JC",4,4,TRUE,0.999769,0.000231,"NewHyb_JC"
"756","085744_1265_S68_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"757","085745_1266_S69_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999957,4.3e-05,"NewHyb_JC"
"758","085746_1267_S70_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999963,3.7e-05,"NewHyb_JC"
"759","085747_1268_S71_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"760","085748_1269_S72_","NewHyb_JC",3.98986,"0.99; 1; 1; 1","NewHyb_BC6JC",0.00986,"0.01; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999791,0.000209,"NewHyb_JC"
"761","085749_1270_S73_","NewHyb_BCJC",4,"1; 1; 1; 1","NewHyb_JC",0,"0; 0; 0; 0","NewHyb_BCJC",4,4,TRUE,0.716976,0.283024,"NewHyb_BCJC"
"762","085750_1271_S74_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999956,4.4e-05,"NewHyb_JC"
"763","085751_1272_S75_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999941,5.9e-05,"NewHyb_JC"
"764","085752_1273_S76_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999963,3.7e-05,"NewHyb_JC"
"765","085753_1274_S77_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999961,3.9e-05,"NewHyb_JC"
"766","085754_1275_S78_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999964,3.6e-05,"NewHyb_JC"
"767","085755_1276_S79_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999962,3.8e-05,"NewHyb_JC"
"768","085756_1277_S80_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999961,3.9e-05,"NewHyb_JC"
"769","085757_1278_S81_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999957,4.3e-05,"NewHyb_JC"
"770","085758_1279_S82_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999966,3.4e-05,"NewHyb_JC"
"771","085759_1280_S83_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999962,3.8e-05,"NewHyb_JC"
"772","085760_1281_S84_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999964,3.6e-05,"NewHyb_JC"
"773","085761_1282_S85_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.999963,3.7e-05,"NewHyb_JC"
"774","085762_1283_S86_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,0.99996,4e-05,"NewHyb_JC"
