"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"2807","100626_1969_S161_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999813,0.000187,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.794663,1.2e-05,1.2e-05,0.2053,"JC"
"2808","100627_1970_S162_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999863,0.000137,2.5e-05,0.999949,2.5e-05,0.999952,1.6e-05,1.6e-05,1.6e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,1.2e-05,"JC"
"2809","100628_1971_S163_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.5e-05,0.999965,0.991988,0.008012,0.046148,0.953826,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,0.202078,1.2e-05,0.158779,1.2e-05,0.639118,"JC"
"2810","100629_1972_S164_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.321347,0.678653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"2811","100630_1973_S165_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999705,0.000295,2.5e-05,0.986277,0.013697,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.801815,1.2e-05,1.2e-05,0.198148,"JC"
"2812","100631_1974_S166_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999853,0.000147,2.5e-05,0.999949,2.5e-05,0.999952,1.6e-05,1.6e-05,1.6e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,1.2e-05,"JC"
"2813","100632_1975_S167_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.992266,0.007734,0.05338,0.946595,2.5e-05,0.018189,1.6e-05,0.981778,1.6e-05,1.2e-05,0.740666,1.2e-05,1.2e-05,0.259297,"JC"
"2814","100633_1976_S168_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.99986,0.00014,2.5e-05,0.999949,2.5e-05,0.913533,0.086435,1.6e-05,1.6e-05,1.2e-05,0.11472,1.2e-05,0.885243,1.2e-05,"JC"
"2815","100634_1977_S169_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.983061,0.016939,0.071679,0.910792,0.01753,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.967835,1.2e-05,1.2e-05,0.032128,"JC"
"2816","100635_1978_S170_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.235706,0.764294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
