"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"1","076770_748_S2_","BCJCxBCJA",4.99884,"1; 1; 1; 1; 0.999","BC3JAxBC2JC",0.00091,"0; 0; 0; 0; 0.001","BCJCxBCJA",5,5,TRUE,0.498281,0.501719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"2","076771_749_S3_","BCJCxBCJA",4.78875,"1; 0.94; 0.861; 0.989; 1","F1",0.19983,"0; 0.06; 0.14; 0; 0","BCJCxBCJA",5,5,TRUE,0.47551,0.52449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBCJA"
"3","076774_750_S6_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.222274,0.777726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"4","076775_751_S7_","F2xBCJC",4.99999,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.211585,0.788415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"5","076776_752_S8_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.280329,0.719671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"6","076778_732_S10_","BCJCxBC2JC",3.07075,"0.758; 0.275; 0.953; 0.785; 0.3","BCJCxBC3JC",1.41407,"0.203; 0.703; 0.011; 0.201; 0.296","BCJCxBC2JC",3,3,TRUE,0.158131,0.841869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBC2JC"
"7","076779_733_S11_","BCJCxBC3JC",3.33277,"0.941; 0.764; 0.765; 0.721; 0.143","BC2JCxBC3JC",1.0062,"0.026; 0.048; 0.033; 0.241; 0.658","BCJCxBC3JC",3,3,TRUE,0.115849,0.884151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBC3JC"
"8","076780_742_S12_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.998652,0.001348,0.03143,0.968545,2.5e-05,0.026062,1.6e-05,0.973906,1.6e-05,1.2e-05,0.751492,1.2e-05,1.2e-05,0.248471,"JC"
"9","076781_740_S13_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.5e-05,0.999965,0.999799,0.000201,2.5e-05,0.969179,0.030795,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.895077,1.2e-05,1.2e-05,0.104886,"JC"
"10","076782_741_S14_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.997268,0.002732,0.032413,0.964046,0.003541,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"11","076783_736_S15_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.999705,0.000295,0.022344,0.977631,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,0.283893,1.2e-05,0.117249,1.2e-05,0.598834,"JC"
"12","076784_729_S16_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999839,0.000161,2.5e-05,0.999949,2.5e-05,0.897959,0.102009,1.6e-05,1.6e-05,1.2e-05,0.030868,1.2e-05,1.2e-05,0.969095,"JC"
"13","076785_738_S17_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.99972,0.00028,2.2e-05,0.999953,2.5e-05,0.029239,1.6e-05,0.970729,1.6e-05,1.2e-05,0.718947,1.2e-05,1.2e-05,0.281016,"JC"
"14","076788_735_S20_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.9e-05,0.999961,0.991077,0.008923,0.054933,0.831133,0.113934,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.867807,1.2e-05,1.2e-05,0.132156,"JC"
"15","076789_731_S21_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.5e-05,0.999965,0.979037,0.020963,0.060092,0.939882,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"16","076790_726_S22_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.993915,0.006085,0.050738,0.92987,0.019392,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"17","076791_737_S23_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.993467,0.006533,0.047445,0.95253,2.5e-05,0.096666,1.6e-05,0.903301,1.6e-05,1.2e-05,0.679634,1.2e-05,1.2e-05,0.320329,"JC"
"18","076793_743_S25_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999821,0.000179,2.5e-05,0.983366,0.016609,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.997931,1.2e-05,1.2e-05,0.002032,"JC"
"19","076794_739_S26_","F1",3.20101,"1; 0.008; 1; 0.24; 0.954","BCJCxBCJA",1.79892,"0; 0.992; 0; 0.76; 0.046","F1",3,5,TRUE,0.478573,0.521427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1"
"20","076795_727_S27_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999832,0.000168,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,0.205031,1.2e-05,1.2e-05,1.2e-05,0.794932,"JC"
"21","076796_730_S28_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.969442,0.030558,2.5e-05,0.999949,2.5e-05,0.031477,1.6e-05,0.968491,1.6e-05,0.259939,1.2e-05,1.2e-05,1.2e-05,0.740024,"JC"
"22","076797_734_S29_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.99975,0.00025,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"23","076798_745_S30_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999803,0.000197,2.5e-05,0.99995,2.4e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"24","076800_776_S32_","F2xBCJC",4.99997,"1; 1; 1; 1; 1","F2",3e-05,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.468017,0.531983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"25","076803_779_S35_","BCJA",2.94135,"0.972; 1; 0.003; 0.09; 0.878","BCJAxBC3JA",1.14076,"0.001; 0; 0.987; 0.062; 0.09","BCJA",3,4,TRUE,0.777403,0.222597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJA"
"26","076804_780_S36_","F2",2.91523,"0.696; 0.298; 0.727; 0.273; 0.921","BCJCxBC2JAvs",2.08477,"0.304; 0.702; 0.273; 0.727; 0.079","F2",1,1,TRUE,0.51641,0.48359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBCF"
"27","076805_781_S37_","BCJCxBCJA",2.74838,"1; 0.026; 0.995; 0.583; 0.145","F1",2.25159,"0; 0.974; 0.005; 0.417; 0.855","BCJCxBCJA",2,4,TRUE,0.480984,0.519016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBCF"
"28","076806_772_S38_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.985428,0.014572,0.066605,0.838201,0.095194,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,1.2e-05,0.206028,1.2e-05,0.793936,"JC"
"29","076807_771_S39_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.1e-05,0.999959,0.99799,0.00201,0.014356,0.969562,0.016082,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.920301,0.009626,1.2e-05,0.070048,"JC"
"30","076808_773_S40_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.990741,0.009259,0.078197,0.751271,0.170532,1.6e-05,1.6e-05,0.999952,1.6e-05,0.219479,0.73754,0.042956,1.2e-05,1.2e-05,"JC"
"31","076809_774_S41_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.5e-05,0.999965,0.999814,0.000186,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.910657,1.2e-05,1.2e-05,0.089306,"JC"
"32","076810_775_S42_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999748,0.000252,2.5e-05,0.999949,2.5e-05,0.025528,1.6e-05,0.97444,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"33","076811_879_S43_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.1e-05,0.999959,0.999847,0.000153,2.5e-05,0.84132,0.158654,0.299483,0.131068,0.569433,1.6e-05,0.448134,1.2e-05,1.2e-05,1.2e-05,0.551829,"JC"
"34","076812_880_S44_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.999805,0.000195,2.5e-05,0.748016,0.251959,1.6e-05,0.17716,0.822808,1.6e-05,0.544859,0.455104,1.2e-05,1.2e-05,1.2e-05,"JC"
"35","076813_881_S45_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999793,0.000207,0.000287,0.777044,0.222669,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"36","076814_882_S46_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.999799,0.000201,2.5e-05,0.753456,0.246519,1.6e-05,0.170921,0.829046,1.6e-05,0.678214,1.2e-05,0.031769,1.2e-05,0.289993,"JC"
"37","076819_873_S51_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.999738,0.000262,0.026414,0.839376,0.134211,1.6e-05,1.6e-05,0.999952,1.6e-05,0.326281,0.673682,1.2e-05,1.2e-05,1.2e-05,"JC"
"38","076821_875_S53_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999836,0.000164,2.5e-05,0.772356,0.227619,1.6e-05,0.145603,0.854365,1.6e-05,0.927656,1.2e-05,0.072308,1.2e-05,1.2e-05,"JC"
"39","076825_787_S57_","JC",4.28519,"1; 0.777; 0.519; 0.999; 0.991","BC6JC",0.71197,"0; 0.223; 0.48; 0.001; 0.009","JC",4,4,TRUE,0.002009,0.997991,0.894739,0.105261,0.140222,0.859752,2.5e-05,1.6e-05,1.6e-05,0.913353,0.086615,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"40","076826_788_S58_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.99984,0.00016,2.5e-05,0.999949,2.5e-05,0.63532,0.02196,0.342704,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"41","076827_789_S59_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.3e-05,0.999967,0.998557,0.001443,2.5e-05,0.999949,2.5e-05,0.376099,1.6e-05,0.623869,1.6e-05,1.2e-05,0.781568,1.2e-05,1.2e-05,0.218395,"JC"
"42","076828_790_S60_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999145,0.000855,0.005383,0.994591,2.5e-05,0.007127,1.6e-05,0.992841,1.6e-05,1.2e-05,1.2e-05,0.130846,1.2e-05,0.869117,"JC"
"43","076829_791_S61_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,6.2e-05,0.999938,0.999718,0.000282,2.5e-05,0.999949,2.5e-05,0.944594,1.6e-05,1.6e-05,0.055374,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"JC"
"44","076830_792_S62_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999839,0.000161,2.5e-05,0.960386,0.039589,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.769076,1.2e-05,1.2e-05,0.230887,"JC"
"45","076831_793_S63_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999812,0.000188,2.5e-05,0.891015,0.108959,1.6e-05,0.062987,0.936981,1.6e-05,0.143529,0.856434,1.2e-05,1.2e-05,1.2e-05,"JC"
"46","076832_794_S64_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.295385,0.704615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"47","076834_796_S66_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.3e-05,0.999967,0.999862,0.000138,2.5e-05,0.999949,2.5e-05,0.999952,1.6e-05,1.6e-05,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"JC"
"48","076835_782_S67_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.998403,0.001597,2.5e-05,0.999949,2.5e-05,0.332234,1.6e-05,0.667733,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"JC"
"49","076836_783_S68_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.7e-05,0.999953,0.98527,0.01473,2.5e-05,0.999949,2.5e-05,0.11917,1.6e-05,0.880798,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"JC"
"50","076837_784_S69_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.728525,0.271475,0.444221,0.555754,2.5e-05,0.114761,1.6e-05,0.616605,0.268618,1.2e-05,1.2e-05,0.465669,1.2e-05,0.534294,"JC"
"51","076840_860_S72_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999859,0.000141,2.5e-05,0.739947,0.260027,1.6e-05,0.182495,0.817473,1.6e-05,0.628522,0.371441,1.2e-05,1.2e-05,1.2e-05,"JC"
"52","076841_861_S73_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4e-05,0.99996,0.999734,0.000266,0.020566,0.655361,0.324073,1.6e-05,0.248028,0.751939,1.6e-05,0.730927,1.2e-05,0.054374,1.2e-05,0.214674,"JC"
"53","076842_862_S74_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.5e-05,0.999965,0.999852,0.000148,2.5e-05,0.999949,2.5e-05,0.999952,1.6e-05,1.6e-05,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"JC"
"54","076844_859_S76_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999836,0.000164,2.5e-05,0.731858,0.268117,0.297096,0.214009,0.488879,1.6e-05,0.675844,0.324119,1.2e-05,1.2e-05,1.2e-05,"JC"
"55","076845_849_S77_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.7e-05,0.999963,0.999834,0.000166,2.5e-05,0.626868,0.373106,1.6e-05,0.287961,0.712006,1.6e-05,0.768864,1.2e-05,1.2e-05,1.2e-05,0.2311,"JC"
"56","076847_851_S79_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.99985,0.00015,2.5e-05,0.655343,0.344632,1.6e-05,0.257779,0.742189,1.6e-05,0.6765,0.323463,1.2e-05,1.2e-05,1.2e-05,"JC"
"57","076848_852_S80_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999831,0.000169,2.5e-05,0.673157,0.326818,1.6e-05,0.2467,0.753267,1.6e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,1.2e-05,"JC"
"58","076849_853_S81_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.3e-05,0.999957,0.999804,0.000196,2.5e-05,0.741318,0.258656,0.318124,0.206923,0.474936,1.6e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,1.2e-05,"JC"
"59","076850_854_S82_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.8e-05,0.999962,0.999761,0.000239,2.5e-05,0.74022,0.259755,0.085882,0.191229,0.722872,1.6e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,1.2e-05,"JC"
"60","076851_855_S83_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999837,0.000163,2.5e-05,0.518502,0.481473,1.6e-05,0.376739,0.623229,1.6e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,1.2e-05,"JC"
"61","076852_856_S84_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.4e-05,0.999956,0.9998,2e-04,2.5e-05,0.785703,0.214272,0.389744,0.169135,0.441105,1.6e-05,0.479674,1.2e-05,1.2e-05,1.2e-05,0.520289,"JC"
"62","076853_857_S85_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999857,0.000143,2.5e-05,0.645973,0.354001,1.6e-05,0.264212,0.735756,1.6e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,1.2e-05,"JC"
"63","076854_858_S86_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999846,0.000154,2.5e-05,0.587902,0.412073,1.6e-05,0.313252,0.686716,1.6e-05,0.718237,0.281726,1.2e-05,1.2e-05,1.2e-05,"JC"
"64","076855_815_S87_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.4e-05,0.999956,0.999851,0.000149,2.5e-05,0.450859,0.549116,1.6e-05,0.373209,0.626759,1.6e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,1.2e-05,"JC"
"65","076856_816_S88_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.240667,0.759333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"66","076858_838_S90_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.6e-05,0.999964,0.999764,0.000236,2.5e-05,0.730816,0.269158,0.313797,0.215856,0.470331,1.6e-05,0.664706,1.2e-05,1.2e-05,1.2e-05,0.335257,"JC"
"67","076859_839_S91_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999855,0.000145,2.5e-05,0.653015,0.34696,1.6e-05,0.264737,0.735231,1.6e-05,0.727147,0.272816,1.2e-05,1.2e-05,1.2e-05,"JC"
"68","076860_840_S92_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.9e-05,0.999961,0.99981,0.00019,2.5e-05,0.667945,0.332029,1.6e-05,0.270512,0.729456,1.6e-05,0.808255,0.191708,1.2e-05,1.2e-05,1.2e-05,"JC"
"69","076861_841_S93_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.99978,0.00022,0.255895,2.6e-05,0.74408,1.6e-05,0.309083,0.690885,1.6e-05,0.918287,1.2e-05,0.081676,1.2e-05,1.2e-05,"JC"
"70","076862_842_S94_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.5e-05,0.999965,0.99983,0.00017,2.5e-05,0.600618,0.399356,1.6e-05,0.292418,0.70755,1.6e-05,0.975968,1.2e-05,0.023995,1.2e-05,1.2e-05,"JC"
"71","076863_888_S95_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.981722,0.018278,0.056482,0.932488,0.01103,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,1.2e-05,0.219207,1.2e-05,0.780756,"JC"
"72","076864_883_S96_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.8e-05,0.999962,0.991911,0.008089,0.022228,0.977746,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,0.376273,1.2e-05,1.2e-05,1.2e-05,0.62369,"JC"
"73","076865_884_S97_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.4e-05,0.999956,0.998225,0.001775,0.024022,0.964935,0.011043,0.092535,1.6e-05,0.907433,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"74","079093_897_S98_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999117,0.000883,0.023941,0.976034,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"75","079094_901_S99_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999443,0.000557,0.018236,0.981739,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"76","079095_899_S100_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.2e-05,0.999958,0.999803,0.000197,2.5e-05,0.999949,2.6e-05,1.6e-05,0.187912,0.812055,1.6e-05,0.508104,0.491859,1.2e-05,1.2e-05,1.2e-05,"JC"
"77","079096_902_S101_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.3e-05,0.999957,0.999793,0.000207,2.1e-05,0.624018,0.375961,1.6e-05,0.285463,0.714505,1.6e-05,0.931148,1.2e-05,0.068815,1.2e-05,1.2e-05,"JC"
"78","079097_903_S102_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.977916,0.022084,0.449561,2.6e-05,0.550414,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,"JC"
"79","079098_898_S103_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999799,0.000201,2.5e-05,0.77542,0.224555,1.6e-05,0.147504,0.852464,1.6e-05,0.888022,1.2e-05,0.111941,1.2e-05,1.2e-05,"JC"
