"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"905","085895_1416_S219_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,4.2e-05,0.999958,"JC",0.985487,0.014513,2.5e-05,0.999949,2.5e-05,1.6e-05,1.6e-05,0.999952,1.6e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,"NewHyb_JC"
"906","085896_1417_S220_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.4e-05,0.999966,"JC",0.366275,0.633725,0.999949,2.5e-05,2.6e-05,1.6e-05,1.6e-05,0.270091,0.729877,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"NewHyb_JC"
"907","085897_1418_S221_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,5.1e-05,0.999949,"JC",0.537152,0.462848,0.707065,0.29291,2.5e-05,0.365838,1.6e-05,0.119773,0.514373,1.2e-05,1.2e-05,0.601188,1.2e-05,0.398775,"NewHyb_JC"
"908","085898_1419_S222_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.6e-05,0.999964,"JC",0.462549,0.537451,0.795255,0.20472,2.5e-05,0.363896,1.6e-05,1.6e-05,0.636071,0.142072,1.2e-05,0.857891,1.2e-05,1.2e-05,"NewHyb_JC"
"909","085899_1420_S223_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.4e-05,0.999966,"JC",0.231235,0.768765,0.999949,2.5e-05,2.5e-05,1.6e-05,1.6e-05,1.6e-05,0.999951,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"NewHyb_JC"
"910","085900_1421_S224_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,4e-05,0.99996,"JC",0.999828,0.000172,2.5e-05,0.999949,2.5e-05,0.185369,1.6e-05,0.814599,1.6e-05,0.222548,1.2e-05,1.2e-05,1.2e-05,0.777415,"NewHyb_JC"
"911","085901_1422_S225_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,5.4e-05,0.999946,"JC",0.999819,0.000181,2.5e-05,0.999949,2.6e-05,0.691819,0.286655,1.6e-05,0.021511,1.2e-05,1.2e-05,0.033275,1.2e-05,0.966688,"NewHyb_JC"
"912","085902_1423_S226_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,4e-05,0.99996,"JC",0.999778,0.000222,2.5e-05,0.833257,0.166718,1.6e-05,0.114004,0.885964,1.6e-05,0.426175,0.573788,1.2e-05,1.2e-05,1.2e-05,"NewHyb_JC"
"913","085903_1424_S227_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,4.3e-05,0.999957,"JC",0.999508,0.000492,2.5e-05,0.820219,0.179755,0.205772,0.133993,0.660219,1.6e-05,0.54552,0.454443,1.2e-05,1.2e-05,1.2e-05,"NewHyb_JC"
"914","085905_1426_S229_","NewHyb_JC",3.99942,"1; 1; 1; 1","NewHyb_BC6JC",0.00057,"0; 0; 0; 0","NewHyb_JC",4,4,TRUE,3.7e-05,0.999963,"JC",0.999726,0.000274,2.5e-05,0.681664,0.318311,0.302582,0.259156,0.438245,1.6e-05,0.999951,1.2e-05,1.2e-05,1.2e-05,1.2e-05,"NewHyb_JC"
