"NewHyb_FinalAssignmentFACTOR","n"
"JC",1797
"BC6JC",9
"BC5JC",0
"BC4JC",5
"BC3JC",0
"BC3JCxBC3JC",0
"BC2JCxBC3JC",6
"BC2JC",10
"BC2JCxBC2JC",0
"BCJCxBC3JC",12
"BCJCxBC2JC",2
"BCJC",79
"BCJCxBCJC",21
"BC2JAxBC3JC",16
"F1",15
"F2",42
"BCJCxBCJA",19
"BC3JAxBC2JC",0
"BCJA",16
"BCJAxBCJA",6
"BCJAxBC2JA",0
"BCJAxBC3JA",0
"BC2JA",0
"BC2JAxBC2JA",0
"BC2JAxBC3JA",0
"BC3JA",0
"BC3JAxBC3JA",0
"BC4JA",0
"BC5JA",0
"BC6JA",0
"JA",14
"complexBCJC",95
"complexBCJA",7
"complexBCF",5
