"HASC_2","NAME_2","NAME_1","JC","BC6JC","complexBCJC","F1","BC2JAxBC3JC","BCJCxBCJA","BCJC","F2","BCJAxBCJA","BCJCxBC3JC","BCJCxBCJC","BCJA","JA","BC2JC","BCJCxBC2JC","complexBCJA","complexBCF","BC2JCxBC3JC","BC4JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"US.CT.HA","Hartford","Connecticut",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.759425333333333,3,3,100
"US.CT.MI","Middlesex","Connecticut",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.410665,1,1,100
"US.CT.TO","Tolland","Connecticut",1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0.715269666666667,5,6,83.3333333333333
"US.CT.WI","Windham","Connecticut",1,0,2,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0.595805125,7,8,87.5
"US.DE.NE","New Castle","Delaware",2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.6205,3,6,50
"US.IA.AL","Allamakee","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IA.BO","Boone","Iowa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52449,1,1,100
"US.IA.CT","Clayton","Iowa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"US.IA.DL","Dallas","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IA.DS","Des Moines","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IA.FO","Fremont","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IA.LE","Lee","Iowa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999953,0,1,0
"US.IA.MS","Marshall","Iowa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999645,0,2,0
"US.IA.PK","Polk","Iowa",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.914959,1,3,33.3333333333333
"US.IA.ST","Story","Iowa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"US.IL.AL","Alexander","Illinois",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996275,0,4,0
"US.IL.BO","Boone","Illinois",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999958,0,2,0
"US.IL.CH","Calhoun","Illinois",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999645,0,2,0
"US.IL.DK","De Kalb","Illinois",8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.973662222222222,1,9,11.1111111111111
"US.IL.DU","Dupage","Illinois",49,0,18,2,0,1,7,4,0,2,3,0,3,2,1,0,0,0,0,0.873089152173913,40,92,43.4782608695652
"US.IL.HY","Henry","Illinois",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961,0,1,0
"US.IL.JC","Jackson","Illinois",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,3,0
"US.IL.JO","Jo Daviess","Illinois",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7508425,1,2,50
"US.IL.KX","Knox","Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.204372,1,1,100
"US.IL.LA","La Salle","Illinois",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961,0,1,0
"US.IL.MD","Madison","Illinois",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.803577,1,1,100
"US.IL.MY","McHenry","Illinois",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999854166666667,0,6,0
"US.IL.PI","Peoria","Illinois",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970030666666667,1,6,16.6666666666667
"US.IL.PT","Putnam","Illinois",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,1,0
"US.IL.RO","Rock Island","Illinois",2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.8448852,3,5,60
"US.IL.SI","Saint Clair","Illinois",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637216,1,1,100
"US.IL.SM","Sangamon","Illinois",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965666666667,0,3,0
