,index_number,LabID,JP_fastStruc_K2_JA,JP_fastStruc_K2_JC,Country,Description,latitude_dd,Longitude_dd,Canker,mapid,dbh_mm,Natural.Forest.Plantation,Situation,Sample.collection.Year,Resource
8,Germ67,087653_Germ67_S356_,0.689128,0.310872,USA,855,39.7684,-86.1581,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
9,53-8-6,091094_53-8-6_S233_,0.000134,0.999866,USA,856,44.25029,-85.50033,Y,HTIRC,152,Plantation with wild resources,City level,2025,Seeds
10,51-15-45,090990_51-15-45_S129_,3.70E-05,0.999963,USA,860,41.63914,-87.0948,Y,HTIRC,143,Plantation with wild resources,City level,2025,Seeds
11,Germ51,087637_Germ51_S340_,4.20E-05,0.999958,USA,880,41.852,-88.085,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
12,Germ23,087609_Germ23_S312_,3.70E-05,0.999963,USA,881,41.852,-88.085,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
13,Germ54,087640_Germ54_S343_,0.373142,0.626858,USA,889,41.326,-86.308,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
14,53-10-21,091113_53-10-21_S252_,0.406707,0.593293,USA,890,41.32207,-81.44516,N,HTIRC,149,Plantation with wild resources,suburban edge trees,2025,Seeds
15,Germ39,087625_Germ39_S328_,0.759791,0.240209,USA,890,41.0919,-81.559,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
16,Germ41,087627_Germ41_S330_,0.714478,0.285522,USA,892,40.0583,-74.4057,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
17,Germ22,087608_Germ22_S311_,3.70E-05,0.999963,USA,893,42.68,-89.62,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
18,Germ17,087603_Germ17_S306_,0.110261,0.889739,USA,894,37.8393,-84.27,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
19,Germ42,087628_Germ42_S331_,0.308643,0.691357,USA,895,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
20,Germ33,087619_Germ33_S322_,0.273842,0.726158,USA,896,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
21,Germ53,087639_Germ53_S342_,0.000574,0.999426,USA,897,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
22,Germ19,087605_Germ19_S308_,0.233336,0.766664,USA,900,40.4173,-82.9071,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
23,Germ43,087629_Germ43_S332_,4.20E-05,0.999958,USA,901,39.3373,-83.057,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
24,Germ21,087607_Germ21_S310_,0.233958,0.766042,USA,902,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
25,Germ52,087638_Germ52_S341_,0.237704,0.762296,USA,903,40.6331,-89.3985,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
26,Germ44,087630_Germ44_S333_,0.396593,0.603407,USA,905,38.8039,-82.992,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
27,Germ20,087606_Germ20_S309_,3.90E-05,0.999961,USA,906,38.8039,-82.992,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
28,Germ18,087604_Germ18_S307_,3.70E-05,0.999963,USA,907,38.8039,-82.992,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
29,Germ38,087624_Germ38_S327_,0.475392,0.524608,USA,908,40.3885,-86.8935,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
30,Germ40,087626_Germ40_S329_,4.50E-05,0.999955,USA,913,44.5,-89.5,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
31,Germ31,087617_Germ31_S320_,0.567839,0.432161,USA,915,40.0583,-74.4057,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
32,Germ32,087618_Germ32_S321_,0.268319,0.731681,USA,989,40.3885,-86.8935,Y,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
33,Germ24,087610_Germ24_S313_,3.40E-05,0.999966,USA,992,41.2033,-77.1945,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
34,53-5-24,091077_53-5-24_S216_,0.41376,0.58624,USA,999,39.52369,-85.7917,N,HTIRC,165,Plantation with wild resources,suburban edge trees,2025,Seeds
35,Germ10,087596_Germ10_S299_,3.60E-05,0.999964,USA,1026,40.7831,-96.688,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
36,Germ12,087598_Germ12_S301_,3.60E-05,0.999964,USA,1027,40.7831,-96.688,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
37,Germ9,087595_Germ9_S298_,6.10E-05,0.999939,USA,1028,40.7831,-96.688,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
38,Germ11,087597_Germ11_S300_,4.20E-05,0.999958,USA,1029,40.7831,-96.688,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
39,Germ13,087599_Germ13_S302_,3.90E-05,0.999961,USA,1051,41.3509,-90.1308,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
40,53-10-32,091114_53-10-32_S253_,0.152841,0.847159,USA,1062,41.28093,-86.64765,Y,HTIRC,142,Plantation with wild resources,suburban edge trees,2025,Seeds
41,44-11-7,079355_44-11-7_S360_,7.50E-05,0.999925,USA,1257,40.00032,-86.25027,N,HTIRC,96,Plantation with wild resources,City level,2025,Seeds
42,51-15-77,090998_51-15-77_S137_,4.70E-05,0.999953,USA,1262,34.72121,-87.70338,Y,HTIRC,111,Plantation with wild resources,City level,2025,Seeds
43,51-12-28,091021_51-12-28_S160_,3.60E-05,0.999964,USA,1263,34.72121,-87.70338,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
44,51-11-56,091033_51-11-56_S172_,3.70E-05,0.999963,USA,1265,34.72121,-87.70338,Y,HTIRC,189,Plantation with wild resources,City level,2025,Seeds
45,51-6-61,091062_51-6-61_S201_,0.195056,0.804944,USA,1266,34.72121,-87.70338,Y,HTIRC,155,Plantation with wild resources,suburban edge trees,2025,Seeds
46,51-22-41,090903_51-22-41_S42_,3.40E-05,0.999966,USA,1267,34.72121,-87.70338,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
47,51-15-28,090986_51-15-28_S125_,0.589335,0.410665,USA,1268,41.40594,-72.48319,N,HTIRC,99,Plantation with wild resources,suburban edge trees,2025,Seeds
48,51-21-36,090924_51-21-36_S63_,3.90E-05,0.999961,USA,1272,41.29153,-88.69112,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
49,51-15-76,090997_51-15-76_S136_,3.40E-05,0.999966,USA,1273,40.78808,-89.75999,Y,HTIRC,141,Plantation with wild resources,City level,2025,Seeds
50,51-23-46,090887_51-23-46_S26_,0.294629,0.705371,USA,1275,40.71345,-89.27775,Y,HTIRC,151,Plantation with wild resources,suburban edge trees,2025,Seeds
51,51-15-30,090987_51-15-30_S126_,3.70E-05,0.999963,USA,1277,41.20447,-89.28583,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
52,51-19-74,090960_51-19-74_S99_,3.90E-05,0.999961,USA,1278,40.78808,-89.75999,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
53,51-14-71,091012_51-14-71_S151_,0.795628,0.204372,USA,1279,40.91015,-90.35538,N,HTIRC,129,Plantation with wild resources,suburban edge trees,2025,Seeds
54,51-10-22,091042_51-10-22_S181_,3.40E-05,0.999966,USA,1280,42.32811,-90.04015,Y,HTIRC,132,Plantation with wild resources,City level,2025,Seeds
55,51-11-76,091038_51-11-76_S177_,0.362784,0.637216,USA,1281,38.59719,-89.75093,N,HTIRC,85,Plantation with wild resources,suburban edge trees,2025,Seeds
56,51-7-62,091056_51-7-62_S195_,0.196423,0.803577,USA,1283,38.74604,-89.68159,Y,HTIRC,139,Plantation with wild resources,suburban edge trees,2025,Seeds
57,51-14-60,091011_51-14-60_S150_,0.179636,0.820364,USA,1286,40.78808,-89.75999,Y,HTIRC,109,Plantation with wild resources,suburban edge trees,2025,Seeds
58,44-11-24,079354_44-11-24_S359_,3.40E-05,0.999966,USA,1287,40.78808,-89.75999,Y,HTIRC,124,Plantation with wild resources,City level,2025,Seeds
59,51-22-50,090909_51-22-50_S48_,3.40E-05,0.999966,USA,1287,40.78808,-89.75999,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
60,51-13-64,091016_51-13-64_S155_,3.90E-05,0.999961,USA,1288,40.78808,-89.75999,Y,HTIRC,125,Plantation with wild resources,City level,2025,Seeds
61,51-20-44,090940_51-20-44_S79_,3.50E-05,0.999965,USA,1289,39.29712,-90.61268,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
62,51-18-73,090966_51-18-73_S105_,3.60E-05,0.999964,USA,1293,39.29712,-90.61268,Y,HTIRC,136,Plantation with wild resources,City level,2025,Seeds
63,51-20-35,090938_51-20-35_S77_,3.40E-05,0.999966,USA,1294,39.69831,-89.61959,Y,HTIRC,89,Plantation with wild resources,Exact Location,2025,Seeds
64,26,079175_26_S180_,3.50E-05,0.999965,USA,1295,39.7,-89.62,Y,NutGrowers,NA,Plantation with wild resources,City level,2025,Seeds
65,51-14-59,091010_51-14-59_S149_,0.172409,0.827591,USA,1297,39.81245,-85.17038,Y,HTIRC,152,Plantation with wild resources,suburban edge trees,2025,Seeds
66,51-21-54,090928_51-21-54_S67_,0.097506,0.902494,USA,1298,39.54366,-86.36742,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
67,44-15-8,079298_44-15-8_S303_,0.242761,0.757239,USA,1298,39.54366,-86.36742,Y,HTIRC,167,Plantation with wild resources,suburban edge trees,2025,Seeds
