SAMPLE ID,COLLECTION ID,Source,COLLECTOR,SUSPECTED SPECIES,PLACE COLLECTED,DATE COLLECTED,SUPP VARIETY,NEWHYBR,SSR p(JC),SSR p(JA),CAPS 2,CAPS 5,CAPS 7,CAPS 10,CAPS ALL,GPS 1,GPS 2,UTM ,X,Y,ELEVATION,DBH (in),HEIGHT (ft),# BOLE CANKERS,CROWN DIAM (ft),CROWN RATIO,CROWN DIEBACK (%),SLOPE,ASPECT,CANKER SCORE,NUTS ON GROUND,NOTES,NOTES 2,ALTERNATE COLLECTOR ID,ALTERNATE COLLECTOR ID 2,Date Extracted,Date ND'd/ Diluted,New Mass DNA,Old Mass DNA,,,,,
JA1019,JUG 12.001,Garden,"USDA Corvalis, Oregon",J. Cinerea,MI,2/28/2006,Van der Poppin,NA,0.996,0.004,C (Mar 10 & Mar 16),,C (Mar 10 & Mar 16),C (Mar 27),C C C ,,,,,,,,,,,,,,,,,with shipment of Jas.  Will not change lab label.,,,,,,266.63,302.91,,,,,
JA1020,JUG 13.001,Garden,"USDA Corvalis, Oregon",J. Cinerea,WI,2/28/2006,Weschcke,NA,0.992,0.008,C (Mar 10 & Mar 16),,C (Mar 10 & Mar 16),C (Mar 27),C C C ,,,,,,,,,,,,,,,,,Came from USDA in Fall of 05.  Sample was labelled as JA,,,,,,168.18,200.4,,,,,
JA1021,JUG 14.001,Garden,"USDA Corvalis, Oregon",J. Cinerea,MN,2/28/2006,Booth,NA,0.996,0.004,C (Mar 16),,C (Mar 10),C (Mar 27),C C C ,,,,,,,,,,,,,,,,,but note that it is in fact JC.  Just labelled as JA because came in,,,,,,159.87,222.09,,,,,
JA1022,select heartnut seedlings (IMSHU) 1,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,JA,0.003,0.997,A (Dec 14),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,,354.92,531,,,,,
JA1023,select heartnut seedlings (IMSHU) 2,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,JA,0.004,0.996,A (Dec 14),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,,49.77,369,,,,,
JA1024,select heartnut seedlings (IMSHU) 3,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,JA,0.004,0.996,A (Dec 14),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,,95.35,530*,,,,,
JA1025,select heartnut seedlings (IMSHU) 4,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,JA,0.004,0.996,A (Dec 14),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,,67.26,455,,,,,
JA1026,IMSHU/ stealth heartnut graft,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,NA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,326.81,731,,,,,
JA1027,IMSHU heartnut graft 1,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,IMSHU,NA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,183.88,174.3,,,,,
JA1028,Campbell CW1 grafts,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Campbell CW1,JA,0.003,0.997,A (Nov20),,,A (Nov 27),A A ,,,,,,,,,,,,,,,,,,,,,,,116.78,573,,,,,
JA1029,Campbell CW1 grafts,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Campbell CW1,NA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,87,336,,,,,
JA1030,Locket heartnut grafts,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Locket,JA,0.005,0.995,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,125.38,248.17,,,,,
JA1031,Locket heartnut grafts,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Locket,NA,0.005,0.995,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,54.94,364.84,,,,,
JA1032,Simcoe 8-2 heartnut grafts 1,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Simco 8-2,JA,0.004,0.996,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,133.15,361,,,,,
JA1033,Simcoe 8-2 heartnut grafts 2,Garden,Grimo Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Simco 8-2,NA,0.004,0.996,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,170.76,619,,,,,
JA1036,Japanese heartnuts- Etter,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Etter,JA,0.004,0.996,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,225.83,281.99,,,,,
JA1037,unkn heartnut 1,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,JA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,362.79,197.46,,,,,
JA1038,Japanese heartnuts- Brock,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Brock,JA,0.004,0.996,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,102.4,396,,,,,
JA1039,unkn heartnut 2,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,JA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,97.48,201.01,,,,,
JA1040,Japanese heartnuts- Wright,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Wright,JA,0.005,0.995,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,57.23,364.9,,,,,
JA1041,unkn heartnut 3,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,JA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,128.54,212.18,,,,,
JA1042,Japanese heartnuts- Mitchell,Garden,Rhora's Nut Nursery,Hybrid,Bare Root Stock from Ontario,4/15/2006,Mitchell,JA,0.004,0.996,A (Dec 14),,A (Dec 10),A (Dec 10),A A A ,,,,,,,,,,,,,,,,,,,,,,,186.72,507,,,,,
JA1043,unkn heartnut 4,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,unknown,NA,,,A (Dec 14),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,387.65,333.02,,,,,
JA1044,Japanese heartnuts- Rhodes,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,4/15/2006,Rhodes,JA,0.004,0.996,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,45,757,,,,,
JA1045,unkn heartnut 5,Garden,Rhora's Nut Nursery,J. ailantifolia var. cordiformis,Bare Root Stock from Ontario,,unknown,JA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,141,120.07,,,,,
JA1046,J. ailantifolia PI479454,Garden,University of Iowa (Ames),J. ailantifolia,Japan,2/27/2006,unknown,JA,0.009,0.991,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,117.6,"202.5, 241.90",,,,,
JA1047,HN 1,Wild,Sunshine Broshi,J. ailantifolia,"Cherokee County, NC",9/13/2005,,JA,0.006,0.994,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,35.0847722,-84.1996117,16S,755311,3886032,,,,,,,,,,,,,,,,,,356.41,321,,,,,
JA1048,HN 2,Wild,Sunshine Broshi,J. ailantifolia,"Cherokee County, NC",9/13/2005,,NA,0.01,0.99,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,35.0847722,-84.1996117,16S,755311,3886032,,,,,,,,,,,,,,,,,,176.75,83.6,,,,,
JA1049,HN 3**,Wild,Sunshine Broshi,J. ailantifolia,"Cherokee County, NC",9/13/2005,,probablyJA,0.021,0.979,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,35.0847722,-84.1996117,16S,755311,3886032,,,,,,,,,,,,probable duplicate of JC1327,,,,,,239.83,,,,,,
JA1050,HN 4,Wild,Sunshine Broshi,J. ailantifolia,"Cherokee County, NC",9/13/2005,,NA,0.028,0.972,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,35.1964851,-83.776977,17S,247170,3898366,,,,,,,,,,,,,,,,,,145.5,243.1,,,,,
JA1051,HN 5,Wild,Sunshine Broshi,J. ailantifolia,"Cherokee County, NC",9/13/2005,,NA,0.013,0.987,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,35.1999975,-83.7993992,17S,245139,3898813,,,,,,,,,,,,,,,,,,1958.3,189.3,,,,,
JA1052,HN 51,Wild,Sunshine Broshi,J. ailantifolia,"Cherokee County, NC",9/14/2005,,probablyJA,0.005,0.995,A (Dec 14),,,A (Mar 27),A A ,35.1501803,-83.9008371,17S,235740,3893551,,,,,,,,,,,,,,,,,,428.68,60.2,,,,,
JA1053,Hybrid 1,Wild,Sunshine Broshi,Suspected Hybrid,"Cherokee County, NC",9/13/2005,,JA,0.005,0.995,A (Apr 13),,,A (Mar 27),A A ,35.0750222,-84.1958336,16S,755686,3884960,,,,,,,,,,,,,,,,,,133.88,"98.23, 180.0",,,,,
JA1054,Hybrid 2,Wild,Sunshine Broshi,Suspected Hybrid,"Cherokee County, NC",9/14/2005,,mix,0.789,0.211,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,35.3329492,-83.6108529,17S,262697,3913095,,,,,,,,,,,,,,,,,,246.58,"223.04, 147.2",,,,,
JA1055,2' IMSHU heartnut (Juglans),Garden,Sandra Anagnostakis,J. ailantifolia,Connecticut,,IMSHU,JA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,196.54,250.81,,,,,
JA1056,2' Locket heartnut (Juglans),Garden,Sandra Anagnostakis,J. ailantifolia,Connecticut,,Locket,NA,0.004,0.996,A (Apr 13),,A (Dec 10),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,181,261.66,,,,,
JA1057,2' Campbell heartnut (Juglans),Garden,Sandra Anagnostakis,J. ailantifolia,Connecticut,,Campbell,NA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,294.21,220.45,,,,,
JA1058,2' Stealth heartnute (Juglans),Garden,Sandra Anagnostakis,J. ailantifolia,Connecticut,,Stealth,NA,0.003,0.997,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,136.83,276.6,,,,,
JA1059,DJUG0008.4,Garden,UCDavis (Germplasm Repository),J. ailantifolia,Japan,6/28/2006,unknown,JA,0.006,0.994,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,285,107.48,,,,,
JA1060,DJUG0006.1,Garden,UCDavis (Germplasm Repository),J. ailantifolia,Japan,6/28/2006,unknown,JA,,,A (Nov20),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,280,125.98,,,,,
JA1061,DJUG0009.3,Garden,UCDavis (Germplasm Repository),J. ailantifolia var. cordiformis,Japan,6/28/2006,unknown,JA,0.005,0.995,A (Nov20),,A (Nov 26),A (Mar 27),A A A ,,,,,,,,,,,,,,,,,,,,,,5/28/2009,159,100.3,,,,,
JA1062,DJUG0067.2,Garden,UCDavis (Germplasm Repository),J. ailantifolia,unknown,6/28/2006,unknown,NA,0.011,0.989,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,330.48,160.88,,,,,
JA1063,DJUG0010.2,Garden,UCDavis (Germplasm Repository),J. ailantifolia var. cordiformis,Japan,6/28/2006,unknown,probablyJA,0.01,0.99,A (Nov20),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,,621.16,172.33,,,,,
JA1064,743-58*2,Garden,Morton Arboretum,J. ailantifolia,Japan,2/26/2007,unknown,JA,0.011,0.989,A (Dec 14),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,,265.85,265.85,,,,,
JA1065,743-58*3,Garden,Morton Arboretum,J. ailantifolia,Japan,2/26/2007,unknown,NA,,,A (Dec 14),,,A (October 3 2009),A ,,,,,,,,,,,,,,,,,,,,,,,,475.1,,,,,
JA1066,825-50*2,Garden,Morton Arboretum,J. ailantifolia,Japan,2/26/2007,unknown,NA,,,A (Dec 14),,,A (October 3 2009),A ,,,,,,,,,,,,,,,,,,,,,,,,873,,,,,
JA1067,825-50*1,Garden,Morton Arboretum,J. ailantifolia,Japan,2/26/2007,unknown,NA,0.004,0.996,A (Nov20),,A (Nov 26),A (Feb 12),A A A ,,,,,,,,,,,,,,,,,coll nuts on 9/13/07,,,,,,194.31,194.31,,,,,
JA1068,507-56*1,Garden,Morton Arboretum,J. ailantifolia,unknown,2/26/2007,unknown,NA,,,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,,,,,,,70.12,70.12,,,,,
