SAMPLE ID,COLLECTION ID,Source,COLLECTOR,SUSPECTED SPECIES,PLACE COLLECTED,DATE COLLECTED,SUPP VARIETY,NEWHYBR,SSR p(JC),SSR p(JA),CAPS 2,CAPS 5,CAPS 7,CAPS 10,CAPS ALL,GPS 1,GPS 2,UTM ,X,Y,ELEVATION,DBH (in),HEIGHT (ft),# BOLE CANKERS,CROWN DIAM (ft),CROWN RATIO,CROWN DIEBACK (%),SLOPE,ASPECT,CANKER SCORE,NUTS ON GROUND,NOTES,NOTES 2,ALTERNATE COLLECTOR ID,ALTERNATE COLLECTOR ID 2,Date Extracted,Date ND'd/ Diluted,New Mass DNA,Old Mass DNA,,,,,
JC1417,BNBV346,Wild,Sunshine Broshi,J. cinerea,"Butternut Valley, TN",10/18/2005,,JC,0.995,0.005,C (Apr 15),,,C (Apr 15),C C ,35.9066244,-85.9105297,16N,598308.8596,3974140,,0.8,8,0,,seedling,seedling,,,0,,,,,,,,449.62,438.4,,,,,
JC1418,BN189,Wild,Sunshine Broshi,J. cinerea,"Butternut Valley, TN",8/15/2005,,NA,,,,,,,,35.8968971,-85.9135756,16N,598046,3973058,,13.4,70.4,13,,60,35,,,5,,,,,,,,,558.88,,,,,
JC1419,1119 Glastonbury,Wild,Sandra Anagnostakis,J. ailantifolia or hybrid,"Glastonbury, Connecticuit",8/8/2006,,NA,,,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,41.7023873,-72.5089374,18N,707270,4619732,45ft,33.4,,,,,,,,,,"cbh = 8' 9""",,,,,,428.92,,,,,,
JC1420,1122 Glastonbury,Wild,Sandra Anagnostakis,J. ailantifolia or hybrid,"Glastonbury, Connecticuit",8/9/2006,,F1,0.65,0.35,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,41.71942,-72.6094703,18N,698852,4621386,146ft,54.6,,,,,,,,,,"cbh = 14' 3.5""",,,,,,449.62,187.69,,,,,
JC1421,1127 Glastonbury,Wild,Sandra Anagnostakis,Hybrid,"Glastonbury, Connecticuit",8/9/2006,,JC,0.992,0.008,C (Nov20),,C (Nov 26),C (Mar 27),C C C ,41.7387709,-72.5142887,18N,706708,4623759,386ft,35,,,,,,,,,,"cbh = 9' 2""",,,,,,330.86,193.09,,,,,
JC1422,1129 Glastonbury,Wild,Sandra Anagnostakis,J. cinerea,"Glastonbury, Connecticuit",8/9/2006,,F1,0.392,0.608,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,41.7387998,-72.5139629,18N,706735,4623763,279ft,42,,,,,,,,,,"cbh = 11' 1""",,,,,,242.47,351.67,,,,,
JC1423,1161 Wethersfield,Wild,Sandra Anagnostakis,J. cinerea,"Wethersfield, Connecticuit",8/8/2006,,F1,0.498,0.502,A (Apr 13),,,A (Mar 27),A A ,41.7037309,-72.6873153,18N,692423,4619467,191ft,32.1,,,,,,,,,,"cbh = 8' 5""",,,,,,425.99,94.25,,,,,
JC1424,1247 Newington,Wild,Sandra Anagnostakis,Hybrid,"Newington, Connecticuit",8/8/2006,,F1,0.566,0.434,A (Nov20),,,A (Feb 12),A A ,41.3784864,-72.1049164,18N,742096,4584819,377ft,32.5,,,,,,,,,,"cbh = 8' 6""",,,,,,214.01,244.75,,,,,
JC1425,1248 Newington,Wild,Sandra Anagnostakis,J. ailantifolia or hybrid,"Newington, Connecticuit",8/8/2006,,JA,0.004,0.996,A (Nov20),,,A (Feb 12),A A ,41.3784864,-72.1049164,18N,742096,4584819,377ft,26.1,,,,,,,,,,"cbh = 6' 10""",,,,,,284.99,147.68,,,,,
JC1426,1249 Newington,Wild,Sandra Anagnostakis,Hybrid,"Newington, Connecticuit",8/9/2006,,F2,0.491,0.509,A (Nov20),,,A (Mar 27),A A ,41.3784864,-72.1049164,18N,742096,4584819,377ft,30.4,,,,,,,,,,"cbh = 7' 11.5""",,,,,,173.02,148.79,,,,,
JC1427,1253 Newington,Wild,Sandra Anagnostakis,J. ailantifolia or hybrid,"Newington, Connecticuit",8/8/2006,,probablyJA,0.007,0.993,A (Nov20),,A (Nov 26),A (Nov 27),A A A ,41.3784864,-72.1049164,18N,742096,4584819,377ft,25.8,,,,,,,,,,"cbh = 6' 9""",,,,,,571.2,166.42,,,,,
JC1428,1260 Wethersfield,Wild,Sandra Anagnostakis,J. ailantifolia or hybrid,"Wethersfield, Connecticuit",8/8/2006,,probablyF1,0.537,0.463,A (Dec 14),,A (Dec 10),A (Dec 10),A A A ,41.7169681,-72.6614173,18N,694538,4620995,15ft,41.3,,,,,,,,,,"cbh = 10' 10""",,,,,,748.26,112.45,,,,,
JC1429,1527 Bolton,Wild,Sandra Anagnostakis,J. cinerea,"Bolton, Connecticuit",8/9/2006,,probablyF2,0.478,0.522,A (Apr 13),,,A (Mar 27),A A ,41.7451636,-72.439616,18N,712897,4624651,603ft,30.9,,,,,,,,,,"cbh = 8' 1""",,,,,,348.63,121.26,,,,,
JC1430,1543 Cromwell,Wild,Sandra Anagnostakis,Hybrid,"Cromwell, Connecticuit",8/9/2006,,probablyBCtoJA,0.265,0.735,A (Apr 13),,A (Nov 26),A (Nov 27),A A A ,41.6236334,-72.6652868,18N,694497,4610623,146ft,33.4,,,,,,,,,,"cbh = 8' 9""",,,,,,233.2,290.68,,,,,
JC1431,1643 Wethersfield,Wild,Sandra Anagnostakis,Hybrid,"Wethersfield, Connecticuit",8/8/2006,,F1,0.463,0.537,A (Apr 13),,A (Nov 26),A (Nov 27),A A A ,41.7110321,-72.6720173,18N,693674,4620312,169ft,52.2,,,,,,,,,,"cbh = 13' 8""",,,,,,1240.4,186.07,,,,,
JC1432,1887 Cromwell,Wild,Sandra Anagnostakis,J. ailantifolia or hybrid,"Cromwell, Connecticuit",8/9/2006,,mix,0.43,0.57,A (Apr 13),,A (Nov 26),A (Mar 27),A A A ,41.626221,-72.6778692,18N,693441,4610882,119ft,29.3,,,,,,,,,,"cbh = 7' 8""",,,,,,342.02,253.49,,,,,
JC1433,BN48,Wild,Sunshine Broshi,J. cinerea,"Butternut Valley, TN",8/15/2005,,JC,0.991,0.009,C (Apr 15),,,C (Apr 15),C C ,35.9121211,-85.9092337,16N,598419,3974751,,9.1,67.2,7,,70,10,,,3,,,,,,,,395.19,194.32,,,,,
JC1434,BN61,Wild,Sunshine Broshi,J. cinerea,"Butternut Valley, TN",8/15/2005,,JC,0.995,0.005,C (Apr 15),,,C (Apr 15),C C ,35.9119421,-85.9093802,16N,598406,3974731,,10.2,46.4,3,,60,15,,,2,,,,,,,,291.03,82.66,,,,,
JC1435,BN78,Wild,Sunshine Broshi,J. cinerea,"Butternut Valley, TN",8/15/2005,,NA,0.985,0.015,C (Apr 15),,,C (Apr 15),C C ,35.9106826,-85.9106623,16N,598291.8723,3974590,,15.4,67.2,7,,,,,,3,,,,,,,,232.09,72.34,,,,,
JC1436,seed of Mosh 386,Seed from Wild,Sean Hoban,Hybrid,"Ozark State Park, MO / Ntnl Scenic Riverway",5/1/2006,,NA,,,C (Apr 13),,C (Nov 26),C (Nov 27),C C C ,,,,,,,,,,,,,,,,,Am not certain of this tree's provenance. One of only a few planted. Should exclude from further analysis,,,,,,235.8,71.03,,,,,
JC1437,seed of Mosh 367 #1,Seed from Wild,Sean Hoban,Hybrid,"Ozark State Park, MO / Ntnl Scenic Riverway",5/1/2006,,NA,,,A (Apr 13),,A (Nov 26),A (Nov 27),A A A ,,,,,,,,,,,,,,,,,Am not certain of this tree's provenance. One of only a few planted. Should exclude from further analysis,,,,,,460.5,,,,,,
JC1438,seed of Mosh 367 #2,Seed from Wild,Sean Hoban,Hybrid,"Ozark State Park, MO / Ntnl Scenic Riverway",5/1/2006,,NA,,,C (Dec 14),,C (Nov 26),C (Nov 27),C C C ,,,,,,,,,,,,,,,,,Am not certain of this tree's provenance. One of only a few planted. Should exclude from further analysis,,,,,,260.9,,,,,,
JC1439,MM Hamden,Wild,Sandra Anagnostakis,Hybrid,"Hamden, Connecticut",11/14/2006,,NA,0.045,0.955,A (Apr 13),,A (Nov 26),A (Nov 27),A A A ,41.4209966,-72.8520007,18N,679501,4587720,,37.1,,,,,,,,,,,,,,,,610.22,,,,,,
JC1440,Vincent black North Haven,Wild,Sandra Anagnostakis,Hybrid,"North Haven, Connecticut",11/14/2006,,mix,0.578,0.422,A (Dec 14),,A (Dec 10),A (Dec 10),A A A ,41.3573364,-72.852004,18N,679676,4580652,,25.6,,,,,,,,,,,,,,,,383.37,,,,,,
JC1441,1802 Chester,Wild,Sandra Anagnostakis,J. cinerea,"Chester, Connecticut",11/14/2006,,NA,0.026,0.974,A (Apr 13),,A (Nov 26),A (Nov 27),A A A ,41.4137352,-72.4481835,18N,713273,4587830,,40+,,,,,,,,,,,,,,,,428.81,,,,,,
JC1442,1816 Chester,Wild,Sandra Anagnostakis,J. cinerea,"Chester, Connecticut",11/14/2006,,F1,0.629,0.371,A (Apr 13),,A (Nov 26),A (Nov 27),A A A ,41.4009825,-72.4587784,18N,712429,4586388,,66.5,,,,,,,,,,,,,,,,381.16,,,,,,
JC1443,Fioka Buartnut,Garden,Grimo Nut Nursery,Hybrid,Scion wood from Ontario,11/10/2006,Fioka,probablyJA,0.066,0.934,A (Dec 14),,,A (Mar 27),A A ,,,,,,,,,,,,,,,,,,,,,,,1614,,,,,,
JC1444,Mitchell Buartnut,Garden,Grimo Nut Nursery,Hybrid,Scion wood from Ontario,11/10/2006,Mitchell,NA,0.523,0.477,"A (Mar 4, 2009)",,,A (October 3 2009),A ,,,,,,,,,,,,,,,,,,,,,,,1266.6,,,,,,
JC1445,MOCA04,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,NA,0.996,0.004,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.9899011,-91.0266816,15N,675611,4095572,,9,32,1,40.96,,0,,,0,,potentially resistant,naturalized pop'n (suspected),,,2/5/2008,2/6/2008,198.5,,,,,,
JC1446,MOCA14,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.996,0.004,C (Apr 29),,,C (Apr 29),C C ,36.8551332,-91.0875782,15N,670491,4080509,,9.4,51.2,0,26.88,,0,,,0,,,naturalized pop'n (suspected),,,,,,,,,,,
JC1447,MOCA17,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.995,0.005,"C (Mar 4, 2009)",,,C (October 3 2009),C ,36.8604718,-91.0804796,15N,671112,4081114,,7.2,25.6,3,30.4,,0,,,2,,,naturalized pop'n (suspected),,,,,,,,,,,
JC1448,MOCA84,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.997,0.003,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.8600762,-91.0760813,15N,671505,4081078,,6,25.6,15,11.2,,90,,,6,,,naturalized pop'n (suspected),,,2/5/2008,2/6/2008,356.7,,,,,,
JC1449,MOCA87,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.995,0.005,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.8593134,-91.0757303,15N,671538,4080994,,20.7,67.2,9,36.8,,15,,,4,,,naturalized pop'n (suspected),,,2/5/2008,2/6/2008,309.5,,,,,,
JC1450,MOCA98,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.995,0.005,C (Apr 29),,,C (Apr 29),C C ,36.8623358,-91.1169893,15N,667853,4081256,,12.9,51.2,0,29.12,,0,,,0,,potentially resistant,naturalized pop'n (suspected),,,,,,,,,,,
JC1451,MOCA99,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.996,0.004,"C (Mar 4, 2009)",,,"C (July 1, 09)",C C ,36.8621852,-91.11715,15N,667839,4081239,,11.7,60.8,0,29.76,,5,,,0,,potentially resistant,naturalized pop'n (suspected),,,,,,,,,,,
JC1452,MOCA102,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.994,0.006,"C (Mar 4, 2009)",,,"C (July 1, 09)",C C ,36.8601656,-91.1205309,15N,667542,4081009,,10.1,dead,dead,dead,dead,dead,,,dead,,,naturalized pop'n (suspected),,,,,,,,,,,
JC1453,MOCA106,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.996,0.004,"C (Mar 4, 2009)",,,"C (July 1, 09)",C C ,36.8601573,-91.120576,15N,667538,4081008,,10.4,57.6,0,25.44,,0,,,0,,potentially resistant,naturalized pop'n (suspected),,,,,,,,,,,
JC1454,MOCA118,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.997,0.003,"C (Mar 4, 2009)",,,"C (July 1, 09)",C C ,36.8587895,-91.1224266,15N,667376,4080853,,12.1,54.4,3,29.76,,0,,,1,,potentially resistant,naturalized pop'n (suspected),,,,,,,,,,,
JC1455,MOCA119,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.995,0.005,"C (Mar 4, 2009)",,,"C (July 1, 09)",C C ,36.8588418,-91.1223132,15N,667386,4080859,,7.5,41.6,2,20.8,,0,,,1,,potentially resistant,naturalized pop'n (suspected),,,,,,,,,,,
JC1456,MOCA131,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/23/2007,,JC,0.985,0.015,"C (Mar 4, 2009)",,,C (October 3 2009),C ,36.8587392,-91.1232354,15N,667304,4080846,,8.7,54.4,2,30.08,,10,,,1,,potentially resistant,naturalized pop'n (suspected),,,,,,,,,,,
JC1457,MOOR01,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/10/2007,,JC,0.975,0.025,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7628586,-91.5391531,15N,630387,4069561,,17.3,70.4,6,24,,5,,,2,,,,,,,,285.09,,,,,,
JC1458,MOOR32,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/8/2007,,JC,0.996,0.004,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7287231,-91.215315,15N,659364,4066264,,2.1,17.6,1,12.8,,0,,,1,,,,,,,,209.66,,,,,,
JC1459,MOOR34,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/10/2007,,JC,0.995,0.005,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7960448,-91.330717,15N,648928,4073547,,5.2,28.8,1,20.16,,0,,,1,,potentially resistant,,,,,,466.88,,,,,,
JC1460,MOOR35,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/8/2007,,JC,0.996,0.004,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7966862,-91.3301763,15N,648975,4073619,,4.7,32,0,21.76,,0,,,0,,potentially resistant,,,,,,186.66,,,,,,
JC1461,MOOR58,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/8/2007,,JC,0.997,0.003,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.8149775,-91.3510342,15N,647079,4075616,,9,57.6,2,20.16,,10,,,1,,potentially resistant,may be MOOR85?,,,,,428.93,,,,,,
JC1462,MOOR62,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/10/2007,,JC,0.997,0.003,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.8155108,-91.347895,15N,647358,4075680,,12.8,48,3,27.84,,5,,,2,,potentially resistant,,,,,,1111.6,,,,,,
JC1463,MOOR64,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/8/2007,,JC,0.993,0.007,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7291094,-91.2176352,15N,659156,4066303,,12.8,48,3,27.84,,5,,,2,,potentially resistant,,,,,,366.9,,,,,,
JC1464,MOOR68,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/10/2007,,JC,0.997,0.003,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7281271,-91.2182514,15N,659103,4066193,,10.2,67.2,2,23.04,,0,,,1,,,,,,,,391.53,,,,,,
JC1465,MOOR79,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/10/2007,,JC,0.995,0.005,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7232225,-91.2320698,15N,657879,4065626,,14.5,48,8,23.04,,70,,,4,,,,,,,,269.99,,,,,,
JC1466,MOOR87,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/10/2007,,JC,0.997,0.003,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7213116,-91.2351031,15N,657612,4065409,,13.4,25.6,6,5.76,,95,,,3,,,,,,,,249.54,,,,,,
JC1467,MOOR90,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/8/2007,,JC,,,"C (Mar 4, 2009)",,,C (October 3 2009),C ,36.7216301,-91.2371336,15N,657430,4065441,,13,48,8,31.68,,40,,,3,,,,,,,,349.79,,,,,,
JC1468,MOOR98,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/10/2007,,JC,0.995,0.005,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7235331,-91.2378179,15N,657365,4065651,,13,70.4,0,28.8,,5,,,0,,potentially resistant,,,,,,1359.2,,,,,,
JC1469,MOOR101,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",2/6/2007,,JC,,,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7238413,-91.2379341,15N,657354,4065685,,19.3,67.2,2,44.8,,5,,,1,,potentially resistant,,,,,,1500.5,,,,,,
JC1470,MOOR126,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",2/6/2007,,JC,0.995,0.005,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7266244,-91.2408378,15N,657089,4065989,,12.7,67.2,0,29.12,,0,,,0,,potentially resistant,,,,,,244.77,,,,,,
JC1471,MOOR133,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",2/6/2007,,JC,,,"C (Mar 4, 2009)",,C (Mar 24),C (Feb 12),C C C ,36.7247721,-91.2423581,15N,656957,4065781,,9.1,51.2,17,28.8,,0,,,8,,,,,,,,658.6,,,,,,
JC1472,MOOR137,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",2/6/2007,,JC,,,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7251213,-91.2446456,15N,656752,4065816,,4.8,25.6,30,12.8,,0,,,10,,,,,,,,1852.3,,,,,,
JC1473,MOOR139,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",2/6/2007,,JC,0.994,0.006,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7256817,-91.2459765,15N,656632,4065876,,17.3,57.6,11,45.12,,15,,,4,,,,,,,,308.19,,,,,,
JC1474,MOOR149,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",2/6/2007,,JC,0.996,0.004,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7243953,-91.2473718,15N,656510,4065731,,10.5,48,11,26.56,,0,,,4,,,,,,,,398.44,,,,,,
JC1475,MOOR153,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/8/2007,,JC,0.993,0.007,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7684698,-91.3139494,15N,650478,4070514,,12,57.6,2,28.8,,0,,,1,,potentially resistant,,,,,,471.03,,,,,,
JC1476,MOOR155,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,,,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7690352,-91.3125029,15N,650606,4070579,,12.6,44.8,1,34.56,,0,,,1,,potentially resistant,,,,,,273.41,,,,,,
JC1477,MOOR156,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.993,0.007,C (Mar 24),,,C (Apr 13),C C ,36.772047,-91.3087843,15N,650932,4070919,,13.8,51.2,7,24,,50,,,3,,,,,,,,421.77,,,,,,
JC1478,MOOR160,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,NA,,,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7729806,-91.3053465,15N,651237,4071028,,4.9,19.2,13,12.8,,0,,,5,,,,,,,,399.49,,,,,,
JC1479,MOOR174,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.99,0.01,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7739761,-91.3018399,15N,651548,4071144,,8,27.2,1,24.32,,0,,,1,,potentially resistant,,,,,,,,,,,,
JC1480,MOOR175,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/8/2007,,JC,0.988,0.012,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7725876,-91.3005485,15N,651666,4070992,,14.9,60.8,0,30.72,,0,,,0,,potentially resistant,,,,,,705.42,,,,,,
JC1481,MOOR181,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.995,0.005,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.772209,-91.2973972,15N,651948,4070955,,6.8,25.6,10,23.68,,0,,,4,,some confusion about whether this was MOOR187,,,,,,376.56,,,,,,
JC1482,MOOR192,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.995,0.005,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7856429,-91.2714043,15N,654241,4072487,,9,57.6,2,21.76,,5,,,1,,potentially resistant,,,,,,315.55,,,,,,
JC1483,MOOR195,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/8/2007,,JC,,,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7857119,-91.2711898,15N,654260,4072495,,13.4,60.8,2,26.88,,5,,,1,,potentially resistant,,,,,,345.3,,,,,,
JC1484,MOOR205,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,,,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7859589,-91.2708145,15N,654293,4072523,,9.8,54.4,6,22.4,,0,,,2,,,,,,,,219.2,,,,,,
JC1485,MOOR208,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.995,0.005,C (Mar 24),,C (Mar 24),C (Apr 13),C C C ,36.7856833,-91.270462,15N,654325,4072493,,10,57.6,0,24.96,,10,,,0,,potentially resistant,,,,,,269.93,,,,,,
JC1486,MOOR232,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.996,0.004,C (Mar 24),,,C (Apr 13),C C ,36.7853089,-91.2726108,15N,654134,4072448,,22.1,60.8,3,46.4,,0,,,2,,potentially resistant,,,,,,218.32,,,,,,
JC1487,MOOR259,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.994,0.006,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.783688,-91.2727145,15N,654128,4072268,,7.6,44.8,0,17.92,,0,,,0,,potentially resistant,,,,,,444.38,,,,,,
JC1488,MOOR260,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.996,0.004,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.783671,-91.2727821,15N,654122,4072266,,9.3,44.8,0,25.92,,0,,,0,,potentially resistant,,,,,,311.78,,,,,,
JC1489,MOOR61,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.997,0.003,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7835789,-91.2726497,15N,654134,4072256,,12.4,60.8,2,29.44,,15,,,1,,may be MOOR261?,,,,,,241.09,,,,,,
JC1490,MOOR274,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,,,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7903805,-91.276128,15N,653810,4073005,,13.1,35.2,8,12.8,,80,,,3,,,,,,,,516.4,,,,,,
JC1491,MOOR276,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",1/9/2007,,JC,0.994,0.006,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7827978,-91.2753454,15N,653895,4072165,,8.9,30.4,8,9.6,,30,,,3,,,,,,,,163.53,,,,,,
JC1492,MOOR287,Wild,Anderson,J. cinerea,"Mark Twain / Ozark National Forest, MO",  ,,JC,,,C (Mar 24),,C (Mar 24),C (Feb 12),C C C ,36.7809803,-91.2774367,15N,653712,4071960,,3.2,19.2,16,4.8,,25,,,6,,,,,,,,191.8,,,,,,
JC1493,21-2003*1,Garden,Morton Arboretum,J. cinerea,IL,2/26/2007,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC1494,228-79*4,Garden,Morton Arboretum,J. cinerea,IL,2/26/2007,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC1495,228-79*3,Garden,Morton Arboretum,J. cinerea,IL,2/26/2007,unknown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC1496,ARLE 07,Wild,Anderson,J. cinerea,"St. Francis National Forest, AR",2/28/2007,,JC,,,C (Mar 19 & 24),,C (Mar 24),C (Feb 12),C C C ,34.7024174,-90.6952282,15N,711093,3842461,,16.3,,,,,,,,,,,,,,,,,,,,,,
JC1497,ARLE 09,Wild,Anderson,J. cinerea,"St. Francis National Forest, AR",2/28/2007,,NA,,,"C (July 24, 2009)",,,C (October 3 2009),,34.7024227,-90.6955119,15N,711067,3842461,,24.6,,,,,,,,,,,,,,,,222,,,,,,
JC1498,ARLE 12,Wild,Anderson,J. cinerea,"St. Francis National Forest, AR",2/28/2007,,JC,0.848,0.152,C (Apr 29),,,C (Apr 29),C C ,34.7021399,-90.6943844,15N,711171,3842432,,23.4,,,,,,,,,,,,,,,,,,,,,,
JC1499,ARLE 19,Wild,Anderson,J. cinerea,"St. Francis National Forest, AR",2/28/2007,,JC,0.823,0.177,C (Apr 29),,,C (Apr 29),C C ,34.7021417,-90.694952,15N,711119,3842431,,16.5,,,,,,,,,,,,,,,,,,,,,,
JC1500,ARLE 24,Wild,Anderson,J. cinerea,"St. Francis National Forest, AR",2/28/2007,,JC,0.989,0.011,C (Apr 29),,,C (Apr 29),C C ,34.7013123,-90.6949532,15N,711121,3842339,,28.7,,,,,,,,,,,,,,,,,,,,,,
JC1501,ARLE 25,Wild,Anderson,J. cinerea,"St. Francis National Forest, AR",2/28/2007,,JC,0.994,0.006,C (Apr 29),,,C (Apr 29),C C ,34.7024205,-90.6930121,15N,711296,3842466,,21.8,,,,,,,,,,,,,,,,,,,,,,
JC1502,ARLE 34,Wild,Anderson,J. cinerea,"St. Francis National Forest, AR",2/28/2007,,JC,,,C (Mar 19),,,C (Feb 12),C C ,34.702423,-90.7218855,15N,708651,3842406,,27.7,,,,,,,,,,,,,,,,,,,,,,
JC1503,ARLE 37,Wild,Anderson,J. cinerea,"St. Francis National Forest, AR",2/28/2007,,JC,0.966,0.034,C (Mar 19),,,C (Feb 12),C C ,34.7026989,-90.7221726,15N,708624,3842436,,19.1,,,,,,,,,,,,,,,,,,,,,,
