"HASC_2","NAME_2","NAME_1","JC","complexBCJC","F1","BCJCxBCJA","F2xBCJC","BCJCxBC2JAvs","BC2JC","BCJC","F2","complexBCF","complexBCJA","BCJA","JA","BCJAxBCJA","BCJCxBC3JC","BC2JCxBC3JC","BC4JC","F1xBCJA","F1xF2","BCJCxBCJC","BC6JC","BCJCxBC2JC","BC2JAxBC3JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"CA.ON.PR","Prescott and Russell","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"CA.ON.RE","Renfrew","Ontario",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995178571428571,0,28,0
"CA.ON.SC","Simcoe","Ontario",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993291037037037,0,27,0
"CA.ON.SD","Stormont, Dundas and Glengarry","Ontario",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996525,0,4,0
"CA.ON.VI","Kawartha Lakes","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"CA.ON.YO","York","Ontario",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999655,0,2,0
"CA.QC.FR","Francheville","Québec",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999122,0,10,0
"CA.QC.MG","Memphrémagog","Québec",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,9,0
"CA.QC.OU","Communauté-Urbaine-de-l'Outaouai","Québec",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571595,1,1,100
"CA.QC.PN","Pontiac","Québec",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9507632,1,10,10
"CA.QC.PP","Papineau","Québec",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999653,0,10,0
"CA.QC.QU","Communauté-Urbaine-de-Québec","Québec",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999959444444444,0,9,0
"CA.QC.VS","Vaudreuil-Soulanges","Québec",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964571428571,0,7,0
"US.AL.CL","Colbert","Alabama",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967459333333333,1,6,16.6666666666667
"US.AR.BA","Baxter","Arkansas",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999648,0,5,0
"US.AR.LE","Lee","Arkansas",19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97255,1,20,5
"US.AR.NW","Newton","Arkansas",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,3,0
