UponCompletionOf_50000_sweeps
LocNumber LocName AlleleNumber AlleleName FreqInPop0 FreqInPop1 SDInPop0 SDinPop1
0	Locus_1	0	280	0.740677	0.320193	0.009084	0.020410
0	Locus_1	1	290	0.119493	0.005187	0.006663	0.003609
0	Locus_1	2	282	0.069016	0.025356	0.005235	0.007173
0	Locus_1	3	288	0.011274	0.000163	0.002153	0.000659
0	Locus_1	4	286	0.014629	0.000192	0.002462	0.000749
0	Locus_1	5	279	0.010448	0.000137	0.002070	0.000564
0	Locus_1	6	278	0.002730	0.505656	0.001148	0.021198
0	Locus_1	7	292	0.006699	0.000101	0.001663	0.000421
0	Locus_1	8	281	0.008799	0.000095	0.001911	0.000406
0	Locus_1	9	272	0.009671	0.010135	0.002252	0.005871
0	Locus_1	10	284	0.000917	0.117038	0.000652	0.013249
0	Locus_1	11	270	0.000497	0.010086	0.000492	0.004179
0	Locus_1	12	291	0.000440	0.000097	0.000429	0.000411
0	Locus_1	13	285	0.000441	0.000093	0.000431	0.000392
0	Locus_1	14	289	0.002949	0.000097	0.001102	0.000414
0	Locus_1	15	294	0.000858	0.000096	0.000595	0.000417
0	Locus_1	16	275	0.000440	0.000095	0.000429	0.000399
0	Locus_1	17	274	0.000023	0.005181	0.000095	0.002963
1	Locus_2	0	248	0.265612	0.000185	0.008419	0.000857
1	Locus_2	1	270	0.022615	0.000047	0.002850	0.000308
1	Locus_2	2	278	0.028446	0.000049	0.003170	0.000316
1	Locus_2	3	276	0.067432	0.000048	0.004773	0.000303
1	Locus_2	4	254	0.081283	0.000042	0.005241	0.000270
1	Locus_2	5	288	0.005582	0.001149	0.001428	0.001510
1	Locus_2	6	252	0.028086	0.000056	0.003159	0.000338
1	Locus_2	7	260	0.052504	0.000046	0.004277	0.000278
1	Locus_2	8	268	0.031342	0.000047	0.003332	0.000299
1	Locus_2	9	274	0.031726	0.000058	0.003352	0.000372
1	Locus_2	10	262	0.027344	0.000051	0.003125	0.000304
1	Locus_2	11	284	0.020789	0.000045	0.002713	0.000270
1	Locus_2	12	256	0.057846	0.005389	0.004460	0.003290
1	Locus_2	13	272	0.060831	0.000059	0.004560	0.000359
1	Locus_2	14	280	0.041187	0.000047	0.003795	0.000284
1	Locus_2	15	290	0.008032	0.000064	0.001708	0.000383
1	Locus_2	16	258	0.046397	0.001138	0.004015	0.002028
1	Locus_2	17	234	0.000011	0.577774	0.000071	0.019743
1	Locus_2	18	294	0.001464	0.000042	0.000729	0.000262
1	Locus_2	19	286	0.018574	0.000068	0.002581	0.000423
1	Locus_2	20	282	0.027681	0.000094	0.003117	0.000551
1	Locus_2	21	266	0.018575	0.000083	0.002582	0.000493
1	Locus_2	22	264	0.026978	0.000042	0.003097	0.000268
1	Locus_2	23	250	0.020774	0.000048	0.002728	0.000300
1	Locus_2	24	244	0.000743	0.001610	0.000525	0.001604
1	Locus_2	25	230	0.000010	0.231820	0.000063	0.016774
1	Locus_2	26	246	0.001103	0.000039	0.000636	0.000248
1	Locus_2	27	249	0.001482	0.171378	0.000755	0.014975
1	Locus_2	28	231	0.000011	0.006385	0.000068	0.003183
1	Locus_2	29	257	0.000374	0.000042	0.000370	0.000265
1	Locus_2	30	291	0.001466	0.000040	0.000733	0.000251
1	Locus_2	31	275	0.000376	0.000042	0.000371	0.000254
1	Locus_2	32	283	0.001104	0.000042	0.000637	0.000270
1	Locus_2	33	255	0.000374	0.000040	0.000370	0.000249
1	Locus_2	34	281	0.000371	0.000042	0.000366	0.000261
1	Locus_2	35	263	0.000375	0.000039	0.000372	0.000247
1	Locus_2	36	236	0.000423	0.001422	0.000417	0.001618
1	Locus_2	37	240	0.000367	0.000075	0.000367	0.000405
1	Locus_2	38	292	0.000309	0.000310	0.000364	0.000920
2	Locus_3	0	128	0.179345	0.074657	0.007338	0.011700
2	Locus_3	1	130	0.123756	0.031032	0.006293	0.007996
2	Locus_3	2	148	0.008378	0.010411	0.001740	0.004172
2	Locus_3	3	124	0.158078	0.026392	0.006981	0.007552
2	Locus_3	4	154	0.001834	0.012460	0.000819	0.004439
2	Locus_3	5	150	0.002983	0.026228	0.001114	0.006599
2	Locus_3	6	126	0.008453	0.197104	0.001771	0.015938
2	Locus_3	7	134	0.027147	0.041026	0.003232	0.008965
2	Locus_3	8	104	0.176109	0.014551	0.007288	0.006297
2	Locus_3	9	106	0.005010	0.000036	0.001333	0.000259
2	Locus_3	10	120	0.076466	0.026703	0.005087	0.007259
2	Locus_3	11	122	0.085098	0.000060	0.005269	0.000385
2	Locus_3	12	115	0.017038	0.021113	0.002579	0.006647
2	Locus_3	13	136	0.029485	0.057344	0.003265	0.009776
2	Locus_3	14	144	0.002163	0.045561	0.000881	0.008295
2	Locus_3	15	132	0.061125	0.136757	0.004659	0.014458
2	Locus_3	16	108	0.002142	0.000081	0.000878	0.000447
2	Locus_3	17	152	0.000759	0.023405	0.000538	0.006032
2	Locus_3	18	125	0.003219	0.000045	0.001069	0.000295
2	Locus_3	19	138	0.009255	0.041068	0.001955	0.008470
2	Locus_3	20	109	0.000363	0.000036	0.000361	0.000239
2	Locus_3	21	103	0.001082	0.000035	0.000625	0.000236
2	Locus_3	22	105	0.000364	0.000033	0.000360	0.000224
2	Locus_3	23	146	0.002235	0.007530	0.001034	0.004103
2	Locus_3	24	142	0.001124	0.020256	0.000646	0.005637
2	Locus_3	25	156	0.003541	0.078874	0.001170	0.010837
2	Locus_3	26	158	0.001790	0.000052	0.000799	0.000323
2	Locus_3	27	129	0.002926	0.004515	0.001107	0.003266
2	Locus_3	28	131	0.000360	0.001643	0.000368	0.001652
2	Locus_3	29	139	0.000360	0.000042	0.000359	0.000277
2	Locus_3	30	140	0.003128	0.019334	0.001094	0.005634
2	Locus_3	31	111	0.000009	0.014174	0.000056	0.004667
