
1.00000000	0.00000000	0.00000000	0.00000000	
0.00000000	0.00000000	0.00000000	1.00000000	
0.00000000	0.50000000	0.50000000	0.00000000	
0.25000000	0.25000000	0.25000000	0.25000000	
0.50000000	0.25000000	0.25000000	0.00000000	
0.00000000	0.25000000	0.25000000	0.50000000	
0.75000000	0.12500000	0.12500000	0.00000000	
0.00000000	0.12500000	0.12500000	0.75000000	
0.87500000	0.06250000	0.06250000	0.00000000	
0.00000000	0.06250000	0.06250000	0.87500000	
0.93750000	0.03125000	0.03125000	0.00000000	
0.00000000	0.03125000	0.03125000	0.93750000	
0.96875000	0.01562500	0.01562500	0.00000000	
0.00000000	0.01562500	0.01562500	0.96875000	
0.98437500	0.00781250	0.00781250	0.00000000	
0.00000000	0.00781250	0.00781250	0.98437500	
0.87890000	0.05860000	0.05860000	0.00390000	
0.82030000	0.08595000	0.08595000	0.00780000	
0.76560000	0.10940000	0.10940000	0.01560000	
0.70310000	0.14065000	0.14065000	0.01560000	
0.65625000	0.15625000	0.15625000	0.03125000	
0.56250000	0.18750000	0.18750000	0.06250000	
0.00390000	0.05860000	0.05860000	0.87890000	
0.00780000	0.08595000	0.08595000	0.82030000	
0.01560000	0.10940000	0.10940000	0.76560000	
0.01560000	0.14065000	0.14065000	0.70310000	
0.03130000	0.15625000	0.15625000	0.65630000	
0.06250000	0.18750000	0.18750000	0.56250000	
0.05860000	0.44140000	0.44140000	0.05860000	
0.11720000	0.41405000	0.41405000	0.05470000	
0.05470000	0.41405000	0.41405000	0.11720000	
0.12500000	0.37500000	0.37500000	0.12500000	
0.43750000	0.31250000	0.18750000	0.06250000	
0.06250000	0.18750000	0.31250000	0.43750000	
0.25000000	0.37500000	0.37500000	0.00000000	
0.00000000	0.37500000	0.37500000	0.25000000	
0.28125000	0.21875000	0.21875000	0.28125000	
