"","ID","z","index"
"253","1304",NA,"253"
"254","1305","z0","254"
"255","1306","z0","255"
"256","1307",NA,"256"
"257","1308",NA,"257"
"258","1309","z0","258"
"259","1310","z0","259"
"260","1311",NA,"260"
"261","1312","z0","261"
"262","1313",NA,"262"
"263","1314","z0","263"
"264","1315",NA,"264"
"265","1316","z0","265"
"266","1318","z0","266"
"267","1319",NA,"267"
"268","1320",NA,"268"
"269","1321",NA,"269"
"270","1322","z0","270"
"271","1323",NA,"271"
"272","1324",NA,"272"
"273","1325",NA,"273"
"274","1326",NA,"274"
"275","1328",NA,"275"
"276","1330",NA,"276"
"277","1331","z0","277"
"278","1333","z0","278"
"279","1334",NA,"279"
"280","1335",NA,"280"
"281","1336",NA,"281"
"282","1340",NA,"282"
"283","1341",NA,"283"
"284","1342","z0","284"
"285","1343",NA,"285"
"286","1344",NA,"286"
"287","1345","z0","287"
"288","1346","z0","288"
"289","1347",NA,"289"
"290","1348",NA,"290"
"291","1349",NA,"291"
"292","1350","z0","292"
"293","1351","z0","293"
"294","1353",NA,"294"
"295","1354","z0","295"
"296","1355","z0","296"
"297","1356",NA,"297"
"298","1357","z0","298"
"299","1358","z0","299"
"300","1359",NA,"300"
"301","1360",NA,"301"
"302","1362",NA,"302"
"303","1363",NA,"303"
"304","1365",NA,"304"
"305","1366",NA,"305"
"306","1367",NA,"306"
"307","1369","z0","307"
"308","1370","z0","308"
"309","1371",NA,"309"
"310","1373","z0","310"
"311","1374",NA,"311"
"312","1375",NA,"312"
"313","1376",NA,"313"
"314","1377","z0","314"
"315","1379","z0","315"
"316","1380",NA,"316"
"317","1382",NA,"317"
"318","1383","z0","318"
"319","1384",NA,"319"
"320","1385",NA,"320"
"321","1386","z0","321"
"322","1387",NA,"322"
"323","1389",NA,"323"
"324","1390","z0","324"
"325","1391",NA,"325"
"326","1392","z0","326"
"327","1393","z0","327"
"328","1397",NA,"328"
"329","1398",NA,"329"
"330","1399",NA,"330"
