"NewHyb_FinalAssignmentFACTOR","n","n_perc"
"JC",1047,84.7087378640777
"BCJC",36,2.9126213592233
"F1",61,4.93527508090615
"F2",27,2.18446601941748
"BCJA",7,0.566343042071197
"JA",16,1.29449838187702
"complexBCJC",13,1.05177993527508
"complexBCJA",9,0.728155339805825
"complexBCF",20,1.61812297734628
